,State,Year,Quarter,District,Count,Amount
0,Andaman & Nicobar,2018,1,north and middle andaman district,442,931663.0770939873
1,Andaman & Nicobar,2018,1,south andaman district,5688,12560249.34366581
2,Andaman & Nicobar,2018,1,nicobars district,528,1139848.801225994
3,Andaman & Nicobar,2018,2,north and middle andaman district,825,1317863.0834906558
4,Andaman & Nicobar,2018,2,south andaman district,9395,23948235.51634325
5,Andaman & Nicobar,2018,2,nicobars district,1120,3072436.9081196385
6,Andaman & Nicobar,2018,3,north and middle andaman district,1283,4901529.518499676
7,Andaman & Nicobar,2018,3,south andaman district,13511,44268112.46425246
8,Andaman & Nicobar,2018,3,nicobars district,1471,6387829.151558982
9,Andaman & Nicobar,2018,4,north and middle andaman district,2137,7955635.917688001
10,Andaman & Nicobar,2018,4,south andaman district,20136,75411840.8018554
11,Andaman & Nicobar,2018,4,nicobars district,1485,7180859.354911782
12,Andaman & Nicobar,2019,1,north and middle andaman district,3264,9561708.736298349
13,Andaman & Nicobar,2019,1,south andaman district,25683,85501972.38780196
14,Andaman & Nicobar,2019,1,nicobars district,1539,7236059.549389593
15,Andaman & Nicobar,2019,2,north and middle andaman district,3371,8612103.137888122
16,Andaman & Nicobar,2019,2,south andaman district,28490,102530955.71341258
17,Andaman & Nicobar,2019,2,nicobars district,1828,9111650.82436246
18,Andaman & Nicobar,2019,3,north and middle andaman district,4049,11481466.283356793
19,Andaman & Nicobar,2019,3,south andaman district,27421,91023888.32848613
20,Andaman & Nicobar,2019,3,nicobars district,2300,11566421.475451011
21,Andaman & Nicobar,2019,4,north and middle andaman district,4716,13524056.784573946
22,Andaman & Nicobar,2019,4,south andaman district,27843,110930312.20611623
23,Andaman & Nicobar,2019,4,nicobars district,2600,12384161.52668771
24,Andaman & Nicobar,2020,1,north and middle andaman district,5674,14697371.617857102
25,Andaman & Nicobar,2020,1,south andaman district,32713,134679396.90582755
26,Andaman & Nicobar,2020,1,nicobars district,2911,12099543.773590054
27,Andaman & Nicobar,2020,2,north and middle andaman district,10979,22447714.061058953
28,Andaman & Nicobar,2020,2,south andaman district,48088,132855778.74838585
29,Andaman & Nicobar,2020,2,nicobars district,3895,14341508.60470232
30,Andaman & Nicobar,2020,3,north and middle andaman district,16747,33486883.370425556
31,Andaman & Nicobar,2020,3,south andaman district,95323,282366109.20523936
32,Andaman & Nicobar,2020,3,nicobars district,5413,22166453.754695386
33,Andaman & Nicobar,2020,4,north and middle andaman district,29349,68941322.38839513
34,Andaman & Nicobar,2020,4,south andaman district,186494,523122462.88302904
35,Andaman & Nicobar,2020,4,nicobars district,8688,35218871.04342849
36,Andaman & Nicobar,2021,1,north and middle andaman district,27358,75027255.27919498
37,Andaman & Nicobar,2021,1,south andaman district,207092,669604045.1248703
38,Andaman & Nicobar,2021,1,nicobars district,10302,39075266.9856904
39,Andaman & Nicobar,2021,2,north and middle andaman district,39200,90233388.79463302
40,Andaman & Nicobar,2021,2,south andaman district,286907,760893020.5704944
41,Andaman & Nicobar,2021,2,nicobars district,15307,48020606.74716837
42,Andaman & Nicobar,2021,3,north and middle andaman district,46592,118254865.82750683
43,Andaman & Nicobar,2021,3,south andaman district,382418,1116789010.6459613
44,Andaman & Nicobar,2021,3,nicobars district,20754,74980519.3281361
45,Andaman & Nicobar,2021,4,north and middle andaman district,53115,156486112.28732437
46,Andaman & Nicobar,2021,4,south andaman district,558571,1694794708.0093334
47,Andaman & Nicobar,2021,4,nicobars district,24437,81329281.0269996
48,Andaman & Nicobar,2022,1,north and middle andaman district,60059,161624878.52274162
49,Andaman & Nicobar,2022,1,south andaman district,705512,1872991195.902684
50,Andaman & Nicobar,2022,1,nicobars district,29177,94414127.64974089
51,Andaman & Nicobar,2022,2,north and middle andaman district,72573,195693167.78757268
52,Andaman & Nicobar,2022,2,south andaman district,954875,2357326563.362071
53,Andaman & Nicobar,2022,2,nicobars district,43769,132900618.93062323
54,Andaman & Nicobar,2022,3,north and middle andaman district,79574,211581970.34202656
55,Andaman & Nicobar,2022,3,south andaman district,1455255,2967719400.849909
56,Andaman & Nicobar,2022,3,nicobars district,49550,131330400.94545083
57,Andaman & Nicobar,2022,4,north and middle andaman district,93297,241431284.3558103
58,Andaman & Nicobar,2022,4,south andaman district,1835592,3600887266.099448
59,Andaman & Nicobar,2022,4,nicobars district,58646,142355853.97352526
60,Andaman & Nicobar,2023,1,north and middle andaman district,152187,392080332.0
61,Andaman & Nicobar,2023,1,south andaman district,2030078,3867385426.0
62,Andaman & Nicobar,2023,1,nicobars district,94127,202062829.0
63,Andaman & Nicobar,2023,2,north and middle andaman district,181149,462414675.0
64,Andaman & Nicobar,2023,2,south andaman district,2417058,4297737197.0
65,Andaman & Nicobar,2023,2,nicobars district,109568,230192364.0
66,Andaman & Nicobar,2023,3,north and middle andaman district,198547,495623030.0
67,Andaman & Nicobar,2023,3,south andaman district,2771397,4462201588.0
68,Andaman & Nicobar,2023,3,nicobars district,128432,253772173.0
69,Andaman & Nicobar,2023,4,north and middle andaman district,230234,540759631.0
70,Andaman & Nicobar,2023,4,south andaman district,3311962,5417264997.0
71,Andaman & Nicobar,2023,4,nicobars district,153587,311527871.0
72,Andaman & Nicobar,2024,1,north and middle andaman district,266400,601756070.0
73,Andaman & Nicobar,2024,1,south andaman district,3751724,5952049462.0
