,State,Year,Quarter,Registered_Users,App_Opens,District
0,Andaman & Nicobar,2018,1,632,0,north and middle andaman district
1,Andaman & Nicobar,2018,1,5846,0,south andaman district
2,Andaman & Nicobar,2018,1,262,0,nicobars district
3,Andaman & Nicobar,2018,2,911,0,north and middle andaman district
4,Andaman & Nicobar,2018,2,8143,0,south andaman district
5,Andaman & Nicobar,2018,2,351,0,nicobars district
6,Andaman & Nicobar,2018,3,1208,0,north and middle andaman district
7,Andaman & Nicobar,2018,3,10474,0,south andaman district
8,Andaman & Nicobar,2018,3,467,0,nicobars district
9,Andaman & Nicobar,2018,4,1553,0,north and middle andaman district
10,Andaman & Nicobar,2018,4,13133,0,south andaman district
11,Andaman & Nicobar,2018,4,536,0,nicobars district
12,Andaman & Nicobar,2019,1,2013,0,north and middle andaman district
13,Andaman & Nicobar,2019,1,15961,0,south andaman district
14,Andaman & Nicobar,2019,1,622,0,nicobars district
15,Andaman & Nicobar,2019,2,2417,6118,north and middle andaman district
16,Andaman & Nicobar,2019,2,18621,43569,south andaman district
17,Andaman & Nicobar,2019,2,693,2953,nicobars district
18,Andaman & Nicobar,2019,3,2662,22064,north and middle andaman district
19,Andaman & Nicobar,2019,3,20518,138190,south andaman district
20,Andaman & Nicobar,2019,3,751,10853,nicobars district
21,Andaman & Nicobar,2019,4,2955,26253,north and middle andaman district
22,Andaman & Nicobar,2019,4,22202,139646,south andaman district
23,Andaman & Nicobar,2019,4,803,11113,nicobars district
24,Andaman & Nicobar,2020,1,3315,30444,north and middle andaman district
25,Andaman & Nicobar,2020,1,24174,151529,south andaman district
26,Andaman & Nicobar,2020,1,879,11613,nicobars district
27,Andaman & Nicobar,2020,2,4100,56992,north and middle andaman district
28,Andaman & Nicobar,2020,2,27626,231071,south andaman district
29,Andaman & Nicobar,2020,2,984,17009,nicobars district
30,Andaman & Nicobar,2020,3,5355,76553,north and middle andaman district
31,Andaman & Nicobar,2020,3,34833,417785,south andaman district
32,Andaman & Nicobar,2020,3,1147,21227,nicobars district
33,Andaman & Nicobar,2020,4,7076,125915,north and middle andaman district
34,Andaman & Nicobar,2020,4,43908,725321,south andaman district
35,Andaman & Nicobar,2020,4,1412,35972,nicobars district
36,Andaman & Nicobar,2021,1,7833,121680,north and middle andaman district
37,Andaman & Nicobar,2021,1,48352,837589,south andaman district
38,Andaman & Nicobar,2021,1,1573,45067,nicobars district
39,Andaman & Nicobar,2021,2,8493,596182,north and middle andaman district
40,Andaman & Nicobar,2021,2,51903,1270226,south andaman district
41,Andaman & Nicobar,2021,2,1699,381815,nicobars district
42,Andaman & Nicobar,2021,3,9263,759314,north and middle andaman district
43,Andaman & Nicobar,2021,3,55873,1771107,south andaman district
44,Andaman & Nicobar,2021,3,1846,591204,nicobars district
45,Andaman & Nicobar,2021,4,10002,171921,north and middle andaman district
46,Andaman & Nicobar,2021,4,59807,1863037,south andaman district
47,Andaman & Nicobar,2021,4,1971,77952,nicobars district
48,Andaman & Nicobar,2022,1,10720,904869,north and middle andaman district
49,Andaman & Nicobar,2022,1,63487,2368756,south andaman district
50,Andaman & Nicobar,2022,1,2081,573782,nicobars district
51,Andaman & Nicobar,2022,2,11379,963824,north and middle andaman district
52,Andaman & Nicobar,2022,2,66959,3404740,south andaman district
53,Andaman & Nicobar,2022,2,2192,811449,nicobars district
54,Andaman & Nicobar,2022,3,11897,1176567,north and middle andaman district
55,Andaman & Nicobar,2022,3,70445,3607286,south andaman district
56,Andaman & Nicobar,2022,3,2300,1284501,nicobars district
57,Andaman & Nicobar,2022,4,12361,313502,north and middle andaman district
58,Andaman & Nicobar,2022,4,73692,3881359,south andaman district
59,Andaman & Nicobar,2022,4,2389,159232,nicobars district
60,Andaman & Nicobar,2023,1,12941,3103047,north and middle andaman district
61,Andaman & Nicobar,2023,1,77052,5450795,south andaman district
62,Andaman & Nicobar,2023,1,2491,2458822,nicobars district
63,Andaman & Nicobar,2023,2,13600,3174229,north and middle andaman district
64,Andaman & Nicobar,2023,2,80112,6884657,south andaman district
65,Andaman & Nicobar,2023,2,2617,4679790,nicobars district
66,Andaman & Nicobar,2023,3,14216,7130284,north and middle andaman district
67,Andaman & Nicobar,2023,3,83305,5950899,south andaman district
68,Andaman & Nicobar,2023,3,2734,7463896,nicobars district
69,Andaman & Nicobar,2023,4,14813,1869462,north and middle andaman district
70,Andaman & Nicobar,2023,4,86348,7452861,south andaman district
71,Andaman & Nicobar,2023,4,2817,523637,nicobars district
72,Andaman & Nicobar,2024,1,15539,9022450,north and middle andaman district
73,Andaman & Nicobar,2024,1,89907,12147903,south andaman district
74,Andaman & Nicobar,2024,1,2965,7368398,nicobars district
75,Andhra Pradesh,2018,1,350356,0,east godavari district
76,Andhra Pradesh,2018,1,143839,0,srikakulam district
77,Andhra Pradesh,2018,1,497187,0,visakhapatnam district
78,Andhra Pradesh,2018,1,189949,0,prakasam district
79,Andhra Pradesh,2018,1,241192,0,anantapur district
