State,Counts
Andaman & Nicobar,13480
Andhra Pradesh,6672900
Arunachal Pradesh,42990
Assam,770474
Bihar,4267608
Chandigarh,172536
Chhattisgarh,1358526
Dadra and Nagar Haveli and Daman and Diu,106516
Delhi,4174044
Goa,183872
Gujarat,5380096
Haryana,3694714
Himachal Pradesh,454746
Jammu & Kashmir,352850
Jharkhand,1771524
Karnataka,7435526
Kerala,1568368
Ladakh,17568
Lakshadweep,1002
Madhya Pradesh,5107206
Maharashtra,12213988
Manipur,59850
Meghalaya,37026
Mizoram,15186
Nagaland,30148
Odisha,3188030
Puducherry,98636
Punjab,1694284
Rajasthan,6316404
Sikkim,40102
Tamil Nadu,4209508
Telangana,6631120
Tripura,110314
Uttar Pradesh,9388500
Uttarakhand,966086
West Bengal,5209578
