,State,Year,Quater,District,Transaction_Count,Transaction_Amount
0,Andaman & Nicobar,2018,1,south andaman,5688,12560249.343665812
1,Andaman & Nicobar,2018,1,nicobars,528,1139848.801225994
2,Andaman & Nicobar,2018,1,north and middle andaman,442,931663.0770939873
3,Andaman & Nicobar,2018,2,south andaman,9395,23948235.51634325
4,Andaman & Nicobar,2018,2,nicobars,1120,3072436.9081196385
5,Andaman & Nicobar,2018,2,north and middle andaman,825,1317863.0834906558
6,Andaman & Nicobar,2018,3,south andaman,13511,44268112.46425246
7,Andaman & Nicobar,2018,3,nicobars,1471,6387829.151558982
8,Andaman & Nicobar,2018,3,north and middle andaman,1283,4901529.518499676
9,Andaman & Nicobar,2018,4,south andaman,20136,75411840.8018554
10,Andaman & Nicobar,2018,4,north and middle andaman,2137,7955635.917688001
11,Andaman & Nicobar,2018,4,nicobars,1485,7180859.354911782
12,Andaman & Nicobar,2019,1,south andaman,25683,85501972.38780196
13,Andaman & Nicobar,2019,1,north and middle andaman,3264,9561708.736298349
14,Andaman & Nicobar,2019,1,nicobars,1539,7236059.549389593
15,Andaman & Nicobar,2019,2,south andaman,28490,102530955.71341258
16,Andaman & Nicobar,2019,2,north and middle andaman,3371,8612103.13788812
17,Andaman & Nicobar,2019,2,nicobars,1828,9111650.82436246
18,Andaman & Nicobar,2019,3,south andaman,27421,91023888.32848613
19,Andaman & Nicobar,2019,3,north and middle andaman,4049,11481466.283356791
20,Andaman & Nicobar,2019,3,nicobars,2300,11566421.475451011
21,Andaman & Nicobar,2019,4,south andaman,27843,110930312.20611623
22,Andaman & Nicobar,2019,4,north and middle andaman,4716,13524056.784573946
23,Andaman & Nicobar,2019,4,nicobars,2600,12384161.52668771
24,Andaman & Nicobar,2020,1,south andaman,32713,134679396.90582758
25,Andaman & Nicobar,2020,1,north and middle andaman,5674,14697371.617857102
26,Andaman & Nicobar,2020,1,nicobars,2911,12099543.773590053
27,Andaman & Nicobar,2020,2,south andaman,48088,132855778.74838585
28,Andaman & Nicobar,2020,2,north and middle andaman,10979,22447714.061058953
29,Andaman & Nicobar,2020,2,nicobars,3895,14341508.60470232
30,Andaman & Nicobar,2020,3,south andaman,95323,282366109.20523936
31,Andaman & Nicobar,2020,3,north and middle andaman,16747,33486883.37042556
32,Andaman & Nicobar,2020,3,nicobars,5413,22166453.754695382
33,Andaman & Nicobar,2020,4,south andaman,186494,523122462.883029
34,Andaman & Nicobar,2020,4,north and middle andaman,29349,68941322.38839513
35,Andaman & Nicobar,2020,4,nicobars,8688,35218871.04342848
